,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
378,Tarabuco,-19.1667,-64.9167,45.1,83,93,3.83,overcast clouds
379,Natchez,31.5604,-91.4032,57.2,94,90,0.6,moderate rain
380,Dubai,25.2582,55.3047,69.8,56,75,13.8,broken clouds
381,Porto-Vecchio,41.591,9.2795,57.2,88,90,12.66,overcast clouds
382,Alma,48.5501,-71.6491,12.2,79,100,13.8,snow
383,Comodoro Rivadavia,-45.8667,-67.5,71.6,49,0,6.91,clear sky
384,Evensk,61.95,159.2333,-0.83,83,100,2.95,overcast clouds
385,Mogadishu,2.0371,45.3438,84.2,61,75,19.57,broken clouds
386,Beaver Falls,40.752,-80.3192,35.6,64,40,10.36,scattered clouds
387,Lata,40.1629,-8.3327,55.99,89,91,5.01,light rain
388,Praya,14.9215,-23.5087,69.8,73,75,18.41,broken clouds
389,Ajdabiya,30.7554,20.2263,49.35,54,100,10.94,overcast clouds
390,Kuruman,-27.4524,23.4325,82.0,58,20,15.61,few clouds
391,Martinho Campos,-19.3317,-45.2369,63.1,91,95,2.86,overcast clouds
392,Jutai,-5.1833,-68.9,71.35,97,99,1.32,overcast clouds
393,Rafaela,-31.2503,-61.4867,75.99,55,0,1.01,clear sky
394,Isla Mujeres,21.2311,-86.731,75.0,94,20,9.24,few clouds
395,Koulikoro,14.0,-7.75,63.61,25,100,10.85,overcast clouds
396,Marystown,47.1666,-55.1483,25.54,97,82,20.87,light snow
397,Shahreza,32.0339,51.8794,30.33,76,0,6.38,clear sky
398,Exeter,50.7236,-3.5275,30.0,96,0,3.24,clear sky
399,San Quintin,30.4833,-115.95,57.24,84,1,1.21,clear sky
400,Ilulissat,69.2167,-51.1,21.2,58,45,4.61,scattered clouds
401,Sanduleni,46.45,26.7333,39.99,93,100,6.91,mist
402,Warrington,53.3925,-2.5802,41.0,87,75,13.8,broken clouds
403,Gushikawa,26.3544,127.8686,69.8,100,75,11.5,moderate rain
404,Nizhnevartovsk,60.9344,76.5531,-23.8,76,0,6.71,clear sky
405,Floro,61.5996,5.0328,39.2,75,75,9.22,broken clouds
406,Aykhal,66.0,111.5,-50.78,75,57,3.67,broken clouds
407,Capao Da Canoa,-29.7456,-50.0097,71.76,83,0,6.64,clear sky
408,Sola,-13.8833,167.55,84.2,84,75,12.12,light rain
409,Rincon,32.296,-81.2354,60.8,88,90,6.91,overcast clouds
410,Ouesso,1.6136,16.0517,80.06,63,32,3.76,scattered clouds
411,Port Hardy,50.6996,-127.4199,33.8,93,90,2.3,overcast clouds
412,Singkang,2.1006,102.7994,87.01,79,40,2.3,scattered clouds
413,Seoul,37.5683,126.9778,44.6,81,90,3.44,mist
414,Asosa,10.0667,34.5333,79.47,34,94,4.72,overcast clouds
415,Richards Bay,-28.783,32.0377,84.76,59,0,9.17,clear sky
416,Gidole,5.65,37.3667,68.99,37,100,6.67,overcast clouds
417,San Cristobal,7.7669,-72.225,65.1,83,67,1.79,broken clouds
418,Muros,42.7762,-9.0603,48.0,91,100,14.67,overcast clouds
419,Gazanjyk,39.2446,55.5154,31.93,93,1,6.13,clear sky
420,Kampot,10.6167,104.1833,89.6,48,20,8.05,few clouds
421,Nara,34.6851,135.8049,48.2,100,75,1.45,light rain
422,Middelburg,-25.7751,29.4648,77.38,25,0,7.54,clear sky
423,Porkhov,57.765,29.5561,33.8,93,75,8.95,broken clouds
424,Mitsamiouli,-11.3847,43.2844,84.15,76,100,14.94,overcast clouds
425,Eugene,44.0521,-123.0867,43.0,95,99,2.84,overcast clouds
426,Sechura,-5.5569,-80.8222,72.57,77,85,10.6,overcast clouds
427,San Jose,37.3394,-121.895,46.99,81,40,5.75,scattered clouds
428,Awjilah,29.1081,21.2869,47.7,53,100,7.34,overcast clouds
429,Uribia,11.7139,-72.266,75.06,79,21,6.91,few clouds
430,Port Macquarie,-31.4333,152.9167,84.2,51,0,14.23,clear sky
431,Kendari,-3.945,122.4989,87.82,57,0,7.11,clear sky
432,Batagay-Alyta,67.8006,130.4114,-25.13,84,100,1.54,overcast clouds
433,Mayo,38.8876,-76.5119,39.2,52,1,10.18,clear sky
434,Imbituba,-28.24,-48.6703,71.6,94,40,11.01,scattered clouds
435,Mugur-Aksy,50.35,90.5,15.82,88,83,6.62,broken clouds
436,Baykit,61.67,96.37,-35.23,76,99,5.21,overcast clouds
437,Raudeberg,61.9875,5.1352,37.0,73,100,11.99,overcast clouds
438,Cervo,43.6702,-7.4101,44.01,100,100,5.99,light rain
439,Mazagao,-0.115,-51.2894,77.0,94,90,5.75,overcast clouds
440,Shitanjing,39.2342,106.3439,35.42,57,0,2.8,clear sky
441,Ahipara,-35.1667,173.1667,63.7,64,37,7.65,scattered clouds
442,Mantua,45.1667,10.7833,39.0,98,89,1.99,overcast clouds
443,Wukari,7.85,9.7833,72.27,22,74,10.18,broken clouds
444,Timra,62.487,17.3257,37.99,87,90,12.66,overcast clouds
445,San Carlos De Bariloche,-41.1456,-71.3082,53.6,71,0,6.91,clear sky
446,Voi,-3.3945,38.563,76.06,75,100,9.51,light rain
447,Dingle,10.9995,122.6711,82.17,80,100,7.38,light rain
448,Leshukonskoye,64.8989,45.7622,-18.45,87,0,5.01,clear sky
449,Siirt,37.9326,41.9403,30.2,69,0,3.44,clear sky
450,Kandi,11.1342,2.9386,64.35,26,86,6.17,overcast clouds
451,General Higinio Morinigo,-25.95,-55.9167,68.9,100,46,5.41,scattered clouds
452,Ust-Ilimsk,58.0006,102.6619,-7.33,89,100,3.04,overcast clouds
453,Yuzhno-Kurilsk,44.0306,145.8556,24.12,90,39,14.74,scattered clouds
454,Malanje,-9.5402,16.341,67.28,78,31,4.76,scattered clouds
455,Wanaka,-44.7,169.15,64.99,49,100,11.01,overcast clouds
456,Torrington,41.8007,-73.1212,30.99,80,0,8.7,clear sky
457,Salaga,8.5508,-0.5188,69.3,22,88,3.71,overcast clouds
458,Bonito,-21.1211,-56.4819,70.84,90,100,1.52,light rain
459,Sao Gabriel Da Cachoeira,-0.1303,-67.0892,70.61,96,100,1.36,overcast clouds
460,Akdepe,42.0551,59.3788,21.2,86,90,11.5,overcast clouds
461,Lujan,-34.5703,-59.105,72.0,84,0,8.01,clear sky
462,Barcelona,41.3888,2.159,59.0,77,20,18.41,few clouds
463,Chupa,66.27,33.0549,10.06,93,100,11.05,overcast clouds
464,Rundu,-17.9333,19.7667,70.48,86,100,3.74,overcast clouds
465,Carepa,7.7585,-76.6525,73.71,94,100,0.78,light rain
466,Roald,62.5833,6.1333,34.0,86,0,8.05,clear sky
467,Chlorakas,34.8042,32.4083,53.6,71,40,3.44,scattered clouds
468,Alta Floresta,-9.8756,-56.0861,67.96,98,100,1.57,overcast clouds
469,Kuroishi,40.6389,140.5922,39.0,69,75,10.36,broken clouds
470,Najran,17.4924,44.1277,55.4,38,0,5.75,dust
471,Coquimbo,-29.9533,-71.3436,60.8,82,90,4.61,overcast clouds
472,Havre-Saint-Pierre,50.2334,-63.5986,1.4,78,90,9.22,overcast clouds
473,Sabha,27.0377,14.4283,45.21,53,0,7.23,clear sky
474,Matara,5.9485,80.5353,86.9,60,100,10.51,overcast clouds
475,Bamako,12.65,-8.0,68.0,22,0,12.66,clear sky
476,Kintampo,8.0563,-1.7306,68.09,62,0,3.09,clear sky
477,Puerto Madero,14.7208,-92.4215,77.41,72,0,4.25,clear sky
478,Leningradskiy,69.3833,178.4167,-10.19,89,100,13.13,light snow
479,Kedrovyy,56.1667,91.8167,3.2,78,90,2.26,snow
480,Ojinaga,29.5667,-104.4167,53.6,100,90,6.24,overcast clouds
481,Bilma,18.6853,12.9164,57.29,34,0,8.84,clear sky
482,East Wenatchee Bench,47.4257,-120.2812,35.6,64,90,4.61,overcast clouds
483,Miramar,25.9873,-80.2323,60.8,94,1,4.03,clear sky
484,Tekeli,44.83,78.8239,29.44,93,100,6.06,light snow
485,Rovaniemi,66.5,25.7167,10.4,85,90,17.27,snow
486,Ust-Omchug,61.15,149.6333,-27.35,68,46,4.16,scattered clouds
487,Koumac,-20.5667,164.2833,79.63,76,100,5.91,overcast clouds
488,Vitorino Freire,-4.0667,-45.1667,72.45,97,100,0.98,light rain
489,Te Anau,-45.4167,167.7167,56.66,72,100,8.12,light rain
490,Kamensk-Uralskiy,56.4185,61.9329,-6.21,91,100,6.31,overcast clouds
491,Grindavik,63.8424,-22.4338,26.6,74,75,23.02,broken clouds
492,Hammerfest,70.6634,23.6821,10.4,72,20,29.93,snow
493,Mount Darwin,-16.7725,31.5838,76.75,75,43,1.92,light rain
494,Fort-Shevchenko,44.5086,50.263,35.33,80,100,16.6,overcast clouds
495,Sibolga,1.7427,98.7792,81.86,76,100,3.78,moderate rain
496,Benicarlo,40.4165,0.4271,53.01,54,37,20.0,scattered clouds
497,Atocha,-20.9333,-66.2333,42.55,82,100,8.08,light rain
498,Ratnagiri,16.9833,73.3,87.58,35,0,5.59,clear sky
499,Touros,-5.1989,-35.4608,73.4,94,20,5.75,few clouds
500,Dumas,35.8656,-101.9732,37.4,56,40,8.05,scattered clouds
501,Moose Factory,51.2585,-80.6094,6.8,85,90,14.97,light snow
502,Springhill,33.006,-93.4668,50.0,94,100,2.62,overcast clouds
503,Zelenets,61.8849,50.7489,-13.0,77,0,6.71,clear sky
504,Quthing,-30.4,27.7003,78.03,42,0,6.02,clear sky
505,Hobyo,5.3505,48.5268,81.55,71,62,21.65,light rain
506,Karratha,-20.7377,116.8463,90.75,49,100,11.36,overcast clouds
507,Yarim,14.298,44.3779,55.81,33,0,4.74,clear sky
508,Jalu,29.0331,21.5482,47.93,53,100,7.09,overcast clouds
509,Partyzany,46.3314,34.7503,40.17,86,99,13.18,overcast clouds
510,Thunder Bay,48.4001,-89.3168,1.4,66,75,6.91,light snow
511,Vestmanna,62.1564,-7.1664,32.0,80,75,31.07,light snow
512,Okha,53.5739,142.9478,-4.95,90,100,16.51,overcast clouds
513,Espanola,35.9911,-106.0806,33.8,64,1,4.61,clear sky
514,Pointe Michel,15.25,-61.3833,76.55,81,13,10.13,few clouds
515,Horsham,51.064,-0.3272,39.0,93,0,4.61,clear sky
516,Hovd,48.0056,91.6419,16.43,77,0,3.09,clear sky
517,Shannon,52.7039,-8.8642,35.6,100,75,5.75,broken clouds
518,Saint-Francois,46.4154,3.9054,50.0,71,0,10.36,clear sky
519,Chifeng,42.2683,118.9636,19.72,93,0,3.09,clear sky
520,Vestmannaeyjar,63.4427,-20.2734,26.6,68,0,18.41,clear sky
521,Xacmaz,41.4635,48.806,35.71,81,0,1.43,clear sky
522,Superior,46.7208,-92.1041,3.2,66,1,3.44,clear sky
523,Melbu,68.5044,14.8297,23.0,50,75,17.27,broken clouds
524,Palauig,15.435,119.9045,82.08,78,100,11.56,overcast clouds
525,Nenjiang,49.1833,125.2167,-1.34,90,0,3.4,clear sky
526,Southbridge,42.0751,-72.0334,28.0,65,1,7.2,clear sky
527,French Harbor,16.35,-86.4333,77.0,94,20,4.61,light rain
528,Porto Novo,6.4965,2.6036,77.0,94,75,5.75,mist
529,Mahajanga,-15.7167,46.3167,86.0,74,20,5.75,few clouds
530,Owando,-0.4819,15.8999,79.14,72,12,3.31,few clouds
531,Roma,43.2128,-75.4557,34.0,86,90,11.88,light snow
532,Pochutla,15.7432,-96.4661,72.0,81,0,3.15,clear sky
533,Gorin,51.1983,136.6669,-6.84,89,49,5.19,scattered clouds
534,Alofi,-19.0595,-169.9187,80.6,89,100,2.3,overcast clouds
535,Amapa,1.0,-52.0,70.07,98,59,1.48,broken clouds
536,Missoula,47.0166,-113.8009,30.99,93,90,3.44,light snow
537,Hamilton,39.1834,-84.5333,37.99,60,1,10.36,clear sky
538,San Patricio,28.017,-97.5169,64.4,100,90,1.48,mist
539,Cockburn Town,21.4612,-71.1419,75.78,76,99,13.78,overcast clouds
540,Rio Gallegos,-51.6226,-69.2181,46.4,71,0,5.75,clear sky
541,Mujiayingzi,42.1167,118.7833,21.06,92,0,2.91,clear sky
542,Princeville,45.7668,-61.2985,15.8,92,75,3.44,broken clouds
543,Mehamn,71.0357,27.8492,15.8,67,0,14.97,clear sky
544,Nagtipunan,16.2167,121.6,83.3,70,63,4.09,light rain
545,Ugoofaaru,5.6667,73.0,82.54,68,100,5.53,overcast clouds
546,Kisangani,0.5167,25.2,81.21,60,100,2.59,overcast clouds
547,Corowa,-36.0333,146.3833,97.0,8,15,4.0,few clouds
548,Gao,16.6362,1.637,59.25,30,0,14.47,clear sky
549,Retiro,-34.5833,-58.3833,75.2,64,0,17.27,clear sky
550,Antalaha,-14.9003,50.2788,84.81,69,100,4.65,overcast clouds
551,Holme,56.1138,10.1725,39.2,93,90,4.61,light rain
552,Akyab,20.15,92.9,79.16,41,0,10.29,clear sky
553,Ucluelet,48.9329,-125.5528,33.01,98,1,1.01,clear sky
554,Muhos,64.808,25.9931,14.0,79,90,21.85,light snow
555,Ponta Delgada,37.7333,-25.6667,59.0,88,40,3.44,scattered clouds
556,Luwuk,-0.9516,122.7875,87.15,63,83,1.61,light rain
557,Charters Towers,-20.1,146.2667,87.51,36,98,11.14,overcast clouds
558,Mae Hong Son,19.3003,97.9685,82.4,39,20,3.44,few clouds
559,Lingao,19.9103,109.6859,74.07,69,9,7.36,clear sky
560,Hailun,47.45,126.9333,7.41,93,75,2.82,broken clouds
561,Tadine,-21.55,167.8833,76.1,81,100,17.0,overcast clouds
562,Russell,32.3502,-85.1999,54.0,94,90,3.44,moderate rain
563,Washington,47.5001,-120.5015,34.0,77,100,1.43,overcast clouds
564,Hailar,49.2,119.7,1.4,91,0,6.15,clear sky
565,Bazarnyy Karabulak,52.2683,46.4144,13.93,96,100,2.93,light snow
566,Pangoa,-12.1167,-73.0,68.99,85,100,2.08,overcast clouds
567,Furano,43.2818,142.4743,24.8,80,75,10.36,light snow
568,Neepawa,50.2289,-99.4664,8.6,78,90,11.5,overcast clouds
569,Sangar,63.9242,127.4739,-44.37,80,100,0.69,overcast clouds
570,Basco,20.4487,121.9702,75.34,92,93,16.69,overcast clouds
571,Bernal,-5.45,-80.75,74.08,71,85,10.94,overcast clouds
572,Kibre Mengist,5.8833,38.9833,72.07,42,38,7.92,scattered clouds
573,Kargasok,59.0556,80.8572,-6.03,90,100,3.51,overcast clouds
574,Kathu,7.9178,98.3332,87.8,45,20,4.61,few clouds
575,Makat,47.6469,53.3463,16.66,94,100,15.77,light snow
576,Ukiah,39.1502,-123.2078,43.0,70,75,2.13,broken clouds
577,Ilo,-17.6394,-71.3375,68.72,81,60,8.46,broken clouds
578,Grants,35.1473,-107.8514,24.8,93,40,9.22,scattered clouds
579,San Policarpo,12.1791,125.5072,83.86,73,0,9.86,clear sky
580,Portland,45.5234,-122.6762,44.6,65,75,6.91,broken clouds
581,Takanabe,32.1333,131.5,66.2,82,75,12.66,broken clouds
582,Sacramento,38.4666,-121.3177,51.01,61,75,8.05,broken clouds
583,Petropavlovsk-Kamchatskiy,53.0452,158.6483,8.6,66,100,6.71,overcast clouds
584,Yenagoa,4.9247,6.2642,77.16,88,30,1.7,scattered clouds
585,Camenca,48.0319,28.6978,33.6,90,93,5.64,overcast clouds
586,Kenai,60.5544,-151.2583,34.0,80,90,5.75,overcast clouds
587,Moree,-29.4667,149.85,82.4,44,7,9.22,clear sky
588,Klyuchi,52.2667,79.1667,-1.23,91,100,8.79,overcast clouds
589,Goure,13.9835,10.2704,62.01,26,0,8.99,clear sky
590,Port Augusta,-32.5,137.7667,86.0,26,0,19.57,clear sky
591,Gaogou,34.0175,119.1886,46.04,68,100,7.27,light rain
592,Lubango,-14.9172,13.4925,68.0,37,75,2.19,broken clouds
593,Piacabucu,-10.4056,-36.4344,75.83,80,100,7.87,overcast clouds
594,Acajutla,13.5928,-89.8275,78.73,61,1,4.05,clear sky
595,Ewa Beach,21.3156,-158.0072,75.2,64,1,4.61,clear sky
596,Souillac,-20.5167,57.5167,84.2,65,40,8.05,scattered clouds
597,Granada,37.25,-3.25,53.6,82,90,9.22,overcast clouds
598,Caninde,-4.3589,-39.3117,72.9,91,100,2.08,overcast clouds
599,Natal,-5.795,-35.2094,77.0,83,20,5.75,few clouds
600,Mnogovershinnyy,53.9353,139.9242,-15.84,88,100,5.35,overcast clouds
601,Olafsvik,64.8945,-23.7142,28.0,89,71,27.51,broken clouds
602,Nakasongola,1.3089,32.4564,84.97,37,30,3.2,scattered clouds
603,Benjamin Constant,-4.3831,-70.0311,72.41,97,100,1.74,light rain
604,Safaga,26.7292,33.9365,53.6,50,0,11.5,clear sky
605,Cap Malheureux,-19.9842,57.6142,84.99,65,0,8.01,clear sky
606,Xining,36.6167,101.7667,37.26,50,0,3.11,clear sky
607,Sembakung,3.8167,117.25,87.8,74,40,2.13,scattered clouds
608,Agadez,19.75,10.25,51.35,41,0,8.39,clear sky
609,Osakarovka,50.565,72.5692,-10.75,90,100,10.0,overcast clouds
610,Baghdad,33.3406,44.4009,46.4,53,0,13.8,clear sky
611,Perbaungan,3.5679,98.956,84.2,70,40,11.5,scattered clouds
612,Aguimes,27.9054,-15.4461,64.4,94,75,16.11,light intensity drizzle
613,Livingston,55.9029,-3.5226,35.6,80,0,10.36,clear sky
614,Saint-Georges,12.0564,-61.7485,77.0,88,40,11.5,scattered clouds
615,Dothan,31.2232,-85.3905,62.6,94,90,8.05,heavy intensity rain
616,Buchanan,5.8808,-10.0467,75.2,100,75,2.24,mist
617,Nayudupeta,13.9,79.9,87.8,51,20,5.75,haze
618,Watsa,3.0372,29.5355,80.28,24,14,4.85,few clouds
619,Manicore,-5.8092,-61.3003,70.63,98,100,1.74,light rain
620,Vila Do Maio,15.1333,-23.2167,69.8,73,75,18.41,broken clouds
621,Zverinogolovskoye,54.4586,64.8542,-5.22,91,100,4.81,overcast clouds
622,Meadow Lake,34.8014,-106.5436,39.2,60,20,5.75,few clouds
623,Bangolo,7.0069,-7.475,68.18,99,19,2.26,few clouds
624,Tommot,58.9564,126.2925,-30.19,81,85,1.34,overcast clouds
625,Saint-Augustin,51.226,-58.6502,16.61,96,100,8.88,light snow
626,Laguna,38.421,-121.4238,50.0,66,20,9.22,few clouds
627,Sterling,39.0062,-77.4286,37.0,60,1,4.61,clear sky
628,Vejalpur,22.6833,73.5667,84.2,34,0,3.44,clear sky
629,Sokolo,14.7328,-6.1219,63.25,25,64,10.76,broken clouds
630,Lahaina,20.8783,-156.6825,73.4,68,1,11.5,clear sky
631,Mali,12.079,-12.2982,68.0,37,0,4.61,clear sky
632,Saquena,-4.6667,-73.5167,71.53,89,100,1.39,overcast clouds
633,Sheltozero,61.3667,35.3667,8.26,95,100,16.96,snow
634,Carauari,-4.8828,-66.8958,70.39,97,91,2.17,overcast clouds
635,Yelanskiy,56.8419,62.5014,-11.07,89,89,5.5,overcast clouds
636,Kitui,-1.367,38.0106,67.86,90,100,2.98,light rain
637,Taoudenni,22.6783,-3.9836,56.82,31,0,10.22,clear sky
638,Tura,25.5198,90.2201,75.69,35,0,3.02,clear sky
639,Lethem,3.3803,-59.7968,75.81,78,100,9.55,overcast clouds
640,Avera,33.194,-82.5271,51.8,98,90,3.44,light rain
641,Los Llanos De Aridane,28.6585,-17.9182,64.4,82,20,8.05,few clouds
642,Maragogi,-9.0122,-35.2225,75.63,80,80,7.2,broken clouds
643,Poum,-20.2333,164.0167,78.8,81,100,22.55,overcast clouds
644,Darab,28.7519,54.5444,53.15,35,100,7.27,overcast clouds
645,Solenzo,12.1833,-4.0833,61.75,27,93,6.87,overcast clouds
646,Vao,-22.6667,167.4833,74.91,78,88,21.83,overcast clouds
647,Marawi,7.9986,124.2928,80.01,85,97,5.99,overcast clouds
648,Nea Apollonia,40.6333,23.45,46.99,91,97,1.77,overcast clouds
649,Atar,20.5169,-13.0499,60.69,25,100,11.52,overcast clouds
650,Bayan,46.0833,127.4,7.83,94,53,2.8,broken clouds
651,Coolum Beach,-26.5333,153.1,80.01,64,0,7.65,clear sky
652,Dzerzhinsk,56.2389,43.4631,8.6,92,75,2.24,light snow
653,Port Arthur,38.8,121.2667,32.0,69,100,6.71,mist
654,Rock Springs,41.5875,-109.2029,26.6,74,20,11.5,few clouds
655,Sanchursk,56.9413,47.2499,-3.03,92,97,4.0,overcast clouds
656,Makakilo City,21.3469,-158.0858,75.2,64,1,4.61,clear sky
657,Axim,4.8699,-2.2405,78.12,86,92,4.9,overcast clouds
658,Ouango,4.3133,22.5552,78.03,26,10,3.53,clear sky
659,Yining,29.0361,114.5636,53.33,86,100,0.29,overcast clouds
660,Bhandara,21.1667,79.65,82.4,20,0,5.75,haze
661,Monte Carmelo,-18.7247,-47.4986,64.17,86,98,5.75,overcast clouds
662,Taltal,-25.4,-70.4833,62.28,76,10,1.07,clear sky
663,Moldovita,47.6833,25.5333,39.0,75,0,11.5,clear sky
664,Karakol,42.4907,78.3936,31.91,89,100,2.21,snow
665,Ikom,5.9667,8.7063,74.93,78,38,0.6,scattered clouds
666,Neuquen,-38.9516,-68.0591,82.4,44,0,2.3,clear sky
667,Ginir,7.1333,40.7,68.85,34,26,9.82,scattered clouds
668,Dong Hoi,17.4833,106.6,70.65,80,80,7.85,broken clouds
669,Aksarka,66.5606,67.7975,-39.89,81,35,8.3,scattered clouds
670,Batemans Bay,-35.7167,150.1833,82.0,68,91,7.0,overcast clouds
671,Matola,-25.9622,32.4589,86.0,58,40,6.91,scattered clouds
672,Tamandare,-8.7597,-35.1047,75.65,83,67,7.49,broken clouds
673,Curumani,9.1999,-73.5427,75.45,73,62,4.25,broken clouds
674,Saint-Joseph,-21.3667,55.6167,87.8,66,0,12.66,light rain
675,Sisimiut,66.9395,-53.6735,19.27,79,0,5.1,clear sky
676,Davila,18.4726,120.5763,82.4,83,75,6.91,broken clouds
677,Puerto Leguizamo,-0.1934,-74.7819,71.46,97,100,3.53,overcast clouds
678,Krasnorechenskiy,44.6265,135.3532,8.56,85,0,8.99,clear sky
679,Brae,60.3964,-1.353,37.4,87,40,20.71,light snow
680,Dongning,44.0622,131.1207,16.02,93,55,1.88,broken clouds
681,Bonavista,48.6499,-53.1147,30.99,100,100,10.36,snow
682,Srednekolymsk,67.45,153.6833,-43.13,81,38,2.73,scattered clouds
683,Raga,8.4596,25.678,68.76,24,12,7.9,few clouds
684,Nizwa,22.9333,57.5333,79.5,17,0,4.85,clear sky
685,Broome,42.2506,-75.833,32.0,93,90,10.36,overcast clouds
686,Qui Nhon,13.7667,109.2333,76.5,79,83,10.78,broken clouds
687,Bereda,43.2686,-7.5406,45.0,100,100,7.0,overcast clouds
688,Wewak,-3.5534,143.6268,84.31,70,100,9.69,overcast clouds
