,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
80,Havre-Saint-Pierre,CA,50.2334,-63.5986,3.2,72,90,11.5,overcast clouds
81,Lagos,NG,6.5833,3.75,84.2,48,57,12.66,haze
82,Atuona,PF,-9.8,-139.0333,77.88,79,3,13.76,light rain
83,Cidreira,BR,-30.1811,-50.2056,74.41,84,35,12.95,scattered clouds
84,Talcahuano,CL,-36.7167,-73.1167,55.4,100,0,2.3,mist
85,Marang,MY,5.2056,103.2059,78.8,83,40,1.14,scattered clouds
86,Acapulco,MX,16.8634,-99.8901,75.29,75,0,3.58,clear sky
87,Arraial Do Cabo,BR,-22.9661,-42.0278,77.0,83,20,11.5,few clouds
88,Palenque,MX,17.5167,-91.9667,66.58,90,0,2.26,clear sky
89,High Level,CA,58.5169,-117.136,17.6,93,90,3.44,light snow
90,Mataura,NZ,-46.1927,168.8643,61.0,69,97,8.01,light rain
91,Rundu,NA,-17.9333,19.7667,74.53,77,100,5.99,light rain
92,Kodiak,US,57.79,-152.4072,39.2,93,40,4.61,scattered clouds
93,Khatanga,RU,71.9667,102.5,-27.89,85,100,8.1,overcast clouds
94,Cancun,MX,21.1743,-86.8466,75.0,94,20,3.44,few clouds
95,Maldonado,UY,-34.6667,-54.9167,73.0,88,20,6.91,few clouds
96,Bubaque,GW,11.2833,-15.8333,77.27,64,90,6.49,overcast clouds
97,Foki,RU,56.693,54.3499,-0.17,92,71,4.61,light snow
98,Fairbanks,US,64.8378,-147.7164,6.8,72,75,3.18,broken clouds
99,Todos Santos,MX,23.45,-110.2167,66.99,92,66,1.01,broken clouds
100,Vestmanna,FO,62.1564,-7.1664,33.8,80,40,20.71,light snow
101,Bluff,NZ,-46.6,168.3333,61.0,69,94,8.01,light rain
102,Rockingham,US,42.9668,-71.0995,28.0,71,100,4.79,overcast clouds
103,Mao,ES,39.8885,4.2658,59.0,82,40,24.16,scattered clouds
104,Sitka,US,57.0531,-135.33,35.6,93,90,1.77,overcast clouds
105,Sanghar,PK,26.0466,68.9481,77.0,33,0,6.91,smoke
106,Avarua,CK,-21.2078,-159.775,80.6,78,40,5.75,light rain
107,Beruwala,LK,6.4788,79.9828,81.66,78,96,7.81,light rain
108,Leningradskiy,RU,69.3833,178.4167,-9.44,89,100,12.44,light snow
109,Quang Ngai,VN,15.1167,108.8,72.99,87,69,7.49,broken clouds
110,Makakilo City,US,21.3469,-158.0858,75.2,64,1,5.75,clear sky
111,Guerrero Negro,MX,27.9769,-114.0611,56.95,84,0,7.07,clear sky
112,Esperance,AU,-33.8667,121.9,77.0,57,0,18.41,clear sky
113,Chabahar,IR,25.2919,60.643,76.32,34,0,4.88,clear sky
114,Bandarbeyla,SO,9.4942,50.8122,77.79,63,21,20.98,few clouds
115,Waipawa,NZ,-41.4122,175.5153,61.0,82,20,18.41,few clouds
116,Hasaki,JP,35.7333,140.8333,48.2,71,40,3.44,scattered clouds
117,Punta Arenas,CL,-53.15,-70.9167,46.4,66,0,16.11,clear sky
118,Svetlaya,RU,46.5389,138.3297,10.35,76,0,9.84,clear sky
119,Pevek,RU,69.7008,170.3133,-12.66,89,100,10.02,overcast clouds
120,Los Llanos De Aridane,ES,28.6585,-17.9182,68.0,73,75,9.22,broken clouds
121,San Jose,US,37.3394,-121.895,48.2,71,90,8.05,overcast clouds
122,Mount Gambier,AU,-37.8333,140.7667,60.8,77,48,9.22,scattered clouds
123,Wajir,KE,1.7471,40.0573,86.0,58,75,6.91,broken clouds
124,Saint George,US,37.1041,-113.5841,41.0,65,20,2.57,few clouds
125,Huangmei,CN,30.1924,116.025,53.35,80,93,3.98,overcast clouds
126,Kavieng,PG,-2.5744,150.7967,82.0,69,100,7.94,overcast clouds
127,Geraldton,AU,-28.7667,114.6,80.6,65,0,14.97,clear sky
128,Yakeshi,CN,49.2833,120.7333,-3.33,89,57,2.75,broken clouds
129,Filadelfia,US,39.9523,-75.1638,37.99,65,75,10.36,broken clouds
130,Isangel,VU,-19.55,169.2667,76.91,88,100,8.41,light rain
131,Datong,CN,40.0936,113.2914,27.91,70,44,1.52,scattered clouds
132,Itapirapua,BR,-15.8233,-50.6133,70.84,87,99,4.63,overcast clouds
133,Coquimbo,CL,-29.9533,-71.3436,60.8,88,90,3.44,overcast clouds
134,Lavrentiya,RU,65.5833,-171.0,9.95,96,49,3.98,scattered clouds
135,Touros,BR,-5.1989,-35.4608,75.2,94,20,4.61,few clouds
136,Vila Velha,BR,-20.3297,-40.2925,75.2,94,75,3.44,light rain
137,Kovalevskoye,RU,45.1942,40.9761,35.44,89,0,4.45,clear sky
138,Egvekinot,RU,66.3167,-179.1667,-11.25,92,100,8.1,overcast clouds
139,Kupang,ID,-10.1667,123.5833,80.6,94,75,5.75,light rain
140,Hilo,US,19.7297,-155.09,69.8,83,90,4.61,moderate rain
141,Mushie,CD,-3.0167,16.9,89.76,52,2,4.09,clear sky
142,Neiafu,TO,-18.65,-173.9833,82.2,70,100,6.8,overcast clouds
143,Castro,BR,-24.7911,-50.0119,62.17,97,100,8.32,overcast clouds
144,Vanderhoof,CA,54.0166,-124.0198,8.92,95,99,1.99,overcast clouds
145,Chuy,UY,-33.6971,-53.4616,70.12,81,1,8.88,clear sky
146,Kochubey,RU,44.3861,46.5825,42.78,55,7,7.83,clear sky
147,Coolum Beach,AU,-26.5333,153.1,73.99,82,0,5.32,clear sky
148,Provideniya,RU,64.3833,-173.3,12.15,94,94,4.59,overcast clouds
149,Bayir,TR,37.2687,28.2167,57.2,67,75,9.22,broken clouds
